Title,Price,Link,Image Link,Scraped Date
Gengar 20/62 Rare Fossil Non Holo Pokémon Card,$13.00,https://www.ebay.com/itm/317062456300,https://i.ebayimg.com/images/g/Y5IAAeSwbIZoa1ZT/s-l140.jpg,2025-07-07
Gengar - 20/62 (Fossil) - Near Mint Nm - Rare,$14.95,https://www.ebay.com/itm/177219011712,https://i.ebayimg.com/images/g/QFUAAOSwuXpoWgTA/s-l140.jpg,2025-07-07
Pokemon Gengar Tcg 20/62 Fossil Non-Holo Rare Card Mp,$10.00,https://www.ebay.com/itm/388672067554,https://i.ebayimg.com/images/g/6lkAAeSwGlRoaSkq/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Set Non-Holo Rare Pokemon Card  1999,$14.99,https://www.ebay.com/itm/205579378005,https://i.ebayimg.com/images/g/dCsAAeSwKVloWare/s-l140.jpg,2025-07-07
Pokemon Fossil Gengar (20) Rare 20/62,$14.99,https://www.ebay.com/itm/306280691404,https://i.ebayimg.com/images/g/K04AAeSw90loE9Df/s-l140.jpg,2025-07-07
Gengar Fossil 1St Edition Non Holo Rare 20/62 Light Play,$27.00,https://www.ebay.com/itm/177218638148,https://i.ebayimg.com/images/g/lrYAAeSwbANoWd16/s-l140.jpg,2025-07-07
Gengar No.094 Holo Rare Fossil Set Vintage 2000 Japanese Pokemon Card(B Rank),$38.00,https://www.ebay.com/itm/388669917923,https://i.ebayimg.com/images/g/GcUAAeSw5rxoaG6-/s-l140.jpg,2025-07-07
Gengar Rare Base Fossil 20/62 Lightly Played,$14.99,https://www.ebay.com/itm/157118582716,https://i.ebayimg.com/images/g/c38AAeSwx5ZoWa0Q/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular Vlp To Nm,$13.00,https://www.ebay.com/itm/187394798215,https://i.ebayimg.com/images/g/DZwAAeSwY-Noa7t1/s-l140.jpg,2025-07-07
Gengar Holo Fossil No.094 Moderately Played Japanese Pokemon Card S14,$31.00,https://www.ebay.com/itm/388365035978,https://i.ebayimg.com/images/g/tfoAAOSwexBoFxqo/s-l140.jpg,2025-07-07
Gengar No.094 Fossil Holo Rare Swirl Old Back Japanese Pokemon Cards Game 1997,$48.37,https://www.ebay.com/itm/388662919242,https://i.ebayimg.com/images/g/OIQAAOSwR4doKp8J/s-l140.jpg,2025-07-07
Gengar - 20/62 - Fossil Unlimited Non Holo Rare Card Pokémon Tcg Wotc Lp+,$15.00,https://www.ebay.com/itm/187386674584,https://i.ebayimg.com/images/g/U98AAeSwfT9oZzh4/s-l140.jpg,2025-07-07
Gengar Mystery Of The Fossils Holo (Japanese)  094 Old Back,$25.00,https://www.ebay.com/itm/167620557246,https://i.ebayimg.com/images/g/hnMAAeSwLCpoY0rj/s-l140.jpg,2025-07-07
Pokémon Tcg Gengar #094 Holo Rare Fossil Card Japanese Edition,$20.50,https://www.ebay.com/itm/406005712262,https://i.ebayimg.com/images/g/tuMAAeSw1AtoVwOd/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular Pokemon Tcg,$15.99,https://www.ebay.com/itm/187350160970,https://i.ebayimg.com/images/g/xC4AAeSwq2VoVGjZ/s-l140.jpg,2025-07-07
Fossil Gengar,$10.00,https://www.ebay.com/itm/205592805336,https://i.ebayimg.com/images/g/O4IAAeSwu7doZKES/s-l140.jpg,2025-07-07
Vintage Pokemon Gengar 20/62 Fossil 1St Edition Non Holo Great Shape,$39.99,https://www.ebay.com/itm/116673513544,https://i.ebayimg.com/images/g/6WsAAeSwIYVoYodK/s-l140.jpg,2025-07-07
Pokemon Card Gengar Fossil 1St Edition Rare 20/62 Near Mint,$85.31,https://www.ebay.com/itm/297238084434,https://i.ebayimg.com/images/g/EusAAeSwGOZoBk~U/s-l140.jpg,2025-07-07
Gengar Holo Fossil Set [Nm-Mint] Japanese Pokemon Card 364,$89.99,https://www.ebay.com/itm/326577747946,https://i.ebayimg.com/images/g/U2MAAOSw0DZoIqMR/s-l140.jpg,2025-07-07
1999 Pokemon Fossil Gengar 1St Edition Non-Holo Card #20/62 -- Mp,$34.99,https://www.ebay.com/itm/396469840528,https://i.ebayimg.com/images/g/~VEAAOSwY9xn~XpI/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Rare Pokemon Card Mp,$8.00,https://www.ebay.com/itm/177243457627,https://i.ebayimg.com/images/g/tGQAAeSww0JoPyXz/s-l140.jpg,2025-07-07
Gengar Fossil 20/62 Pokemon Tcg Non Holo Rare Wotc Vintage 1999,$5.00,https://www.ebay.com/itm/336044522904,https://i.ebayimg.com/images/g/c8UAAeSwXxtoD~F~/s-l140.jpg,2025-07-07
Gengar 1St Edition Fossil Set Pokemon Card 20/62 Non-Holo Tcg Wotc Vintage,$28.00,https://www.ebay.com/itm/146468743383,https://i.ebayimg.com/images/g/O7IAAeSwH2Vn32le/s-l140.jpg,2025-07-07
Pokemon Gengar Fossil Lp,$50.00,https://www.ebay.com/itm/387862273402,https://i.ebayimg.com/images/g/swMAAOSw3ORnlZq8/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular First Edition Secret Rare Card Condition: Moderate.,$30.00,https://www.ebay.com/itm/235927581665,https://i.ebayimg.com/images/g/2cMAAOSwrbRnkvcp/s-l140.jpg,2025-07-07
Mp-Hp Japanese Gengar Lv 38 094 Old Fossil Set 1997 Pokemon Holo,$29.99,https://www.ebay.com/itm/167488600916,https://i.ebayimg.com/images/g/6rIAAOSwTUJoE92y/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$12.00,https://www.ebay.com/itm/135762661275,https://i.ebayimg.com/images/g/ZjAAAeSwQXJoGClw/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$13.99,https://www.ebay.com/itm/316430481200,https://i.ebayimg.com/images/g/ZHIAAeSwkcFnxaRW/s-l140.jpg,2025-07-07
Gengar Holo No.094 Fossil Japanese Pokemon Card 1997 Vintage,$42.80,https://www.ebay.com/itm/197362492072,https://i.ebayimg.com/images/g/6E4AAOSwhnBoNhV7/s-l500.jpg,2025-07-07
Gengar  Fossil No.094 Holo Rare Japanese Pokemon Card Game,$43.49,https://www.ebay.com/itm/316921256933,https://i.ebayimg.com/images/g/oEUAAOSwuiJoPsyb/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil-Unlimited Edition Regular,$12.75,https://www.ebay.com/itm/356809995685,https://i.ebayimg.com/images/g/4JgAAeSwJaFoBu1M/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil-1St Edition Regular,$30.00,https://www.ebay.com/itm/306187181271,https://i.ebayimg.com/images/g/BHwAAeSw0Qhn2cUU/s-l140.jpg,2025-07-07
Gengar No. 094 Fossil Set Holo 1997 Japanese Pokemon Card Nintendo From Japan,$34.98,https://www.ebay.com/itm/365704120399,https://i.ebayimg.com/images/g/yqkAAOSwLO9oXgUv/s-l140.jpg,2025-07-07
Nm Gengar 20/62 Rare Vintage Unlimited Pokemon Tcg Wotc Fossil Not Played,$3.25,https://www.ebay.com/itm/317055262293,https://i.ebayimg.com/images/g/-7wAAeSwf71oZ9RS/s-l140.jpg,2025-07-07
Pokémon Gengar Tcg Card 20/62 Fossil Regular Unlimited Rare + Gastly,$9.99,https://www.ebay.com/itm/146689736642,https://i.ebayimg.com/images/g/pUoAAeSwnLhoaCYy/s-l140.jpg,2025-07-07
Gengar No. 094 Holo Rare Fossil Set Japanese Pokemon Card 1997 Old Back,$44.95,https://www.ebay.com/itm/357085735527,https://i.ebayimg.com/images/g/4q4AAeSwzidoSdYw/s-l140.jpg,2025-07-07
Lp-Mp 1St Edition Gengar 20/62 Fossil Set Pokemon Card Non-Holo Tcg,$24.99,https://www.ebay.com/itm/127039204620,https://i.ebayimg.com/images/g/ax0AAeSwubJn9CU5/s-l140.jpg,2025-07-07
Pokémon Card First Edition Fossil Gengar 1999 20/62 Psa9,$149.99,https://www.ebay.com/itm/257005942578,https://i.ebayimg.com/images/g/l-0AAeSwR4Foa0C3/s-l140.jpg,2025-07-07
Pokémon Tcg - Gengar 20/62 1St Edition Non-Holo - Fossil - Nm,$150.00,https://www.ebay.com/itm/405317732174,https://i.ebayimg.com/images/g/9tIAAOSw~NNnIqNw/s-l140.jpg,2025-07-07
First 1St Edition Gengar 20/62 Pokemon Card Tcg Fossil Non Holo Mp,$29.99,https://www.ebay.com/itm/267308962003,https://i.ebayimg.com/images/g/eYcAAeSw29xoOhHb/s-l140.jpg,2025-07-07
Gengar Mystery Of The Fossils Holo (Japanese),$40.00,https://www.ebay.com/itm/316754585352,https://i.ebayimg.com/images/g/pSYAAeSwKYRoFqTE/s-l140.jpg,2025-07-07
Gengar No.094 Fossil Holo Rare Old Back Japanese Pokemon Cards Game 1997,$47.29,https://www.ebay.com/itm/388662918076,https://i.ebayimg.com/images/g/4iIAAOSwi-ZoKqEW/s-l140.jpg,2025-07-07
Gengar Fossil 20/62 Pokemon Tcg Non Holo Rare Wotc Vintage 1999 Lp/Nm,$14.99,https://www.ebay.com/itm/376387519793,https://i.ebayimg.com/images/g/rjwAAeSw7H9oavZ6/s-l140.jpg,2025-07-07
Gengar Holo Pokémon Tcg Japanese Fossil No. 94 Ungraded,$40.43,https://www.ebay.com/itm/297093245409,https://i.ebayimg.com/images/g/U7gAAeSwvHNoYGqq/s-l140.jpg,2025-07-07
Pokémon Tcg Gengar First Edition Fossil 20/62 1999-2000,$45.00,https://www.ebay.com/itm/176955584115,https://i.ebayimg.com/images/g/vYEAAOSwDi5n5Cks/s-l140.jpg,2025-07-07
Gengar Mystery Of The Fossils Holo (Japanese),$38.00,https://www.ebay.com/itm/296941317417,https://i.ebayimg.com/images/g/pSoAAOSwTgdnhLEg/s-l140.jpg,2025-07-07
Gengar - 20/62 - 1St Edition Fossil - Rare - Pokemon Card - Never Played - Wotc,$40.00,https://www.ebay.com/itm/363235458226,https://i.ebayimg.com/images/g/kkQAAOSw5MFf3A85/s-l140.jpg,2025-07-07
Gengar No.094 Holo Rare Fossil Set Vintage 2000 Japanese Pokemon Card Tcg Mp C,$24.70,https://www.ebay.com/itm/365689963388,https://i.ebayimg.com/images/g/Wn8AAOSw-LxoWgLO/s-l140.jpg,2025-07-07
Gengar No.094 Holo Rare Fossil Set Vintage 2000 Japanese Pokemon Card Tcg Ex Lp,$34.00,https://www.ebay.com/itm/365715384260,https://i.ebayimg.com/images/g/oPcAAeSwrepoa3mK/s-l140.jpg,2025-07-07
Pokemon Tcg Fossil Gengar 20/62 1St Edition Non-Holo Rare Card,$25.50,https://www.ebay.com/itm/136099009407,https://i.ebayimg.com/images/g/JKAAAeSwMCJoZwKA/s-l140.jpg,2025-07-07
Gengar Holo Japanese Pokemon Mystery Of The Fossils #094 1997 15Fy,$101.81,https://www.ebay.com/itm/256944397204,https://i.ebayimg.com/images/g/0jMAAeSwERxoMSoU/s-l140.jpg,2025-07-07
